,Comment,comment_clean,sentiment_scores,compound_score,sentence_sentiment
30,Good progress. I expect more from the student as we work together during this period.,good progress i expect more from the student as we work together during this period,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.6908}",0.6908,Good
31,Good time keeper with much interest on networks,good time keeper with much interest on networks,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",0.7096,Good
32,"Maintains good working relationships with coworkers.
Has a good attendance record.
Error rate is acceptable, and all work is completed timely.","maintains good working relationships with coworkers
has a good attendance record
error rate is acceptable and all work is completed timely","{'neg': 0.097, 'neu': 0.612, 'pos': 0.291, 'compound': 0.6597}",0.6597,Good
33,Took him some time to catch up with UNIX commands but great performance,took him some time to catch up with unix commands but great performance,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.7684}",0.7684,Good
34,"He's a quick learner, has a few ideas on the wordpress tasks and he's copying well.",hes a quick learner has a few ideas on the wordpress tasks and hes copying well,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",0.2732,Good
35,"The student was able to install printer drivers. He was able to demonstrate file transfer through file access links on different computers. He was able to identify the compatible RAM  for the computer in question. He also was able to create rules to folders in MS outlook 2010.
With more practice, he will be able to operate with minimal supervision.",the student was able to install printer drivers he was able to demonstrate file transfer through file access links on different computers he was able to identify the compatible ram  for the computer in question he also was able to create rules to folders in ms outlook with more practice he will be able to operate with minimal supervision,"{'neg': 0.0, 'neu': 0.966, 'pos': 0.034, 'compound': 0.2732}",0.2732,Good
36,She needs more practice otherwise very interested,she needs more practice otherwise very interested,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4576}",0.4576,Good
37,She knows about her hardware and can identify and troubleshoot related problems,she knows about her hardware and can identify and troubleshoot related problems,"{'neg': 0.186, 'neu': 0.69, 'pos': 0.124, 'compound': -0.2263}",-0.2263,Poor
38,"The student is well organized, willing to learn and innovative",the student is well organized willing to learn and innovative,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.6124}",0.6124,Good
39,"As stated, the internet blackout halted progress.",as stated the internet blackout halted progress,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,Good
40,"She has already learned the basics of data analysis in pandas, which is key to the main task which is developing data visualizations. 
She has also presented a conceptual model for the API design for the data that will be required to implement the dashboards.","she has already learned the basics of data analysis in pandas which is key to the main task which is developing data visualizations 
she has also presented a conceptual model for the api design for the data that will be required to implement the dashboards","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
41,This part was challenging to him especially with the configurations and terminations otherwise he makes effort to see that things work at the end of it all,this part was challenging to him especially with the configurations and terminations otherwise he makes effort to see that things work at the end of it all,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.1531}",0.1531,Good
42,"I gave him a task to work (improve) on the front end of a system that is already in production at this company, and he has been progressing well, I realized he knows some programming concepts, so I need to introduce him to real-world problems so he can find solutions to them. He is generally doing well, he will ask where he does not understand.",i gave him a task to work  on the front end of a system that is already in production at this company and he has been progressing well i realized he knows some programming concepts so i need to introduce him to realworld problems so he can find solutions to them he is generally doing well he will ask where he does not understand,"{'neg': 0.038, 'neu': 0.839, 'pos': 0.123, 'compound': 0.6249}",0.6249,Good
43,He has some knowledge about IP addresses and now is able to put them in practice,he has some knowledge about ip addresses and now is able to put them in practice,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
44,quite impressive,quite impressive,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5563}",0.5563,Good
45,This week went well. Had a fair amount of tech debt clearance and some feature additions.,this week went well had a fair amount of tech debt clearance and some feature additions,"{'neg': 0.126, 'neu': 0.653, 'pos': 0.221, 'compound': 0.2263}",0.2263,Good
46,This week had good development momentum. No issues from me.,this week had good development momentum no issues from me,"{'neg': 0.168, 'neu': 0.611, 'pos': 0.221, 'compound': 0.1779}",0.1779,Good
47,He knows about IP addresses which is very good and now I believe he knows how to enter them and interconnect and configure different devices,he knows about ip addresses which is very good and now i believe he knows how to enter them and interconnect and configure different devices,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.4927}",0.4927,Good
48,This week had slower momentum due to some miscalculations on our part.,this week had slower momentum due to some miscalculations on our part,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
49,This week's work was mostly about reducing tech debt and improving pull request quality. There is a lot of progress being made on this front by all team members.,this weeks work was mostly about reducing tech debt and improving pull request quality there is a lot of progress being made on this front by all team members,"{'neg': 0.073, 'neu': 0.762, 'pos': 0.164, 'compound': 0.4767}",0.4767,Good
50,No notable issues came up to my attention in regard to tasks execution. I am also happy that Benjamin gets to help out on pull request reviews.,no notable issues came up to my attention in regard to tasks execution i am also happy that benjamin gets to help out on pull request reviews,"{'neg': 0.067, 'neu': 0.736, 'pos': 0.196, 'compound': 0.6369}",0.6369,Good
51,Tasks execution went well. No notable issues from me per their execution.,tasks execution went well no notable issues from me per their execution,"{'neg': 0.154, 'neu': 0.699, 'pos': 0.147, 'compound': -0.0258}",-0.0258,Neutral
52,OK,ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,Good
53,This weeks progress was derailed due to Health issues by Benjamin. We hope next week will be better.,this weeks progress was derailed due to health issues by benjamin we hope next week will be better,"{'neg': 0.096, 'neu': 0.56, 'pos': 0.344, 'compound': 0.7351}",0.7351,Good
55,Good attempt and great enthusiasm,good attempt and great enthusiasm,"{'neg': 0.0, 'neu': 0.168, 'pos': 0.832, 'compound': 0.872}",0.872,Excellent
56,This was new to him but now is well knowledgeable about setting up a network,this was new to him but now is well knowledgeable about setting up a network,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.3919}",0.3919,Good
57,The student acquired skills in networks. Simon was very participative and inquisitive to learn more.,the student acquired skills in networks simon was very participative and inquisitive to learn more,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2415}",0.2415,Good
58,She can identify and troubleshoot the different components of a UPS,she can identify and troubleshoot the different components of a ups,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",0.2023,Good
59,The student acquired hands on skills on installation and configuration of network devices and network layout.,the student acquired hands on skills on installation and configuration of network devices and network layout,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
60,She has performed well as she is asking and contributing to the identification and solving problems associated with a UPS,she has performed well as she is asking and contributing to the identification and solving problems associated with a ups,"{'neg': 0.112, 'neu': 0.702, 'pos': 0.186, 'compound': 0.2023}",0.2023,Good
61,She is now knowledgeable about the different symbols associated with a UPS,she is now knowledgeable about the different symbols associated with a ups,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
62,She is able to identify the different parts of a computer. Very good,she is able to identify the different parts of a computer very good,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.4927}",0.4927,Good
63,She has performed very well as she can identity the different components,she has performed very well as she can identity the different components,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.3384}",0.3384,Good
64,She has the knowledge but finds difficulty when starting the installation process,she has the knowledge but finds difficulty when starting the installation process,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Poor
65,She has performed this very well with no hardship,she has performed this very well with no hardship,"{'neg': 0.0, 'neu': 0.516, 'pos': 0.484, 'compound': 0.5601}",0.5601,Good
66,The process is kind of challenging especially with the bios page otherwise during the installation she follows quite well,the process is kind of challenging especially with the bios page otherwise during the installation she follows quite well,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.4019}",0.4019,Good
67,She needs more practice in terminating cables otherwise has knowledge of networking,she needs more practice in terminating cables otherwise has knowledge of networking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
68,She has learnt how the aspects of wireless networks work and can put them in practice,she has learnt how the aspects of wireless networks work and can put them in practice,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
69,This is new to her but is serious on knowing what should be done,this is new to her but is serious on knowing what should be done,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.1154}",-0.1154,Poor
70,Notable presence of passion for graphics design and development,notable presence of passion for graphics design and development,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",0.4588,Good
71,She quickly adapted to the use of Javascript for front end development however if possible more research in that direction would increase perfection hence help her to work faster,she quickly adapted to the use of javascript for front end development however if possible more research in that direction would increase perfection hence help her to work faster,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.8271}",0.8271,Good
72,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP  With this he is good to go, Next is going to be combining JS, PHP, MySQL, and HTML. This will put him at a level of programming small projects for the start.",he was given a task to do different code snippets with php before he can start on a realworld project he has done well all the basics of php  with this he is good to go next is going to be combining js php mysql and html this will put him at a level of programming small projects for the start,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.6124}",0.6124,Good
73,Student started learning how to deal in corporate environments.,student started learning how to deal in corporate environments,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
74,"The student took on a new language and development platform - Django and Python and progressed well on a weekly basis, managing to develop a task management application for the development unit.",the student took on a new language and development platform  django and python and progressed well on a weekly basis managing to develop a task management application for the development unit,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.2732}",0.2732,Good
75,Good start. More research needed.,good start more research needed,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Good
76,Good attitude towards challenges and willingness to learn. Well done.,good attitude towards challenges and willingness to learn well done,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.7506}",0.7506,Good
77,"MS Angella is very smart, articulate, calm, ready to learn and willing to face the challenge. Ms Angella settles in well with the existing team who warmly welcomed her. Good luck with this attachment.",ms angella is very smart articulate calm ready to learn and willing to face the challenge ms angella settles in well with the existing team who warmly welcomed her good luck with this attachment,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.9668}",0.9668,Excellent
78,"Some more bug fixes and task finally completed. A report submitted, and I have reviewed the task. I should say, this was good progress.",some more bug fixes and task finally completed a report submitted and i have reviewed the task i should say this was good progress,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6908}",0.6908,Good
79,"Also setup cPanel, uploaded the site files and enabled SSL. 
A few bugs to be sorted though.","also setup cpanel uploaded the site files and enabled ssl 
a few bugs to be sorted though","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
80,Well done,well done,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,Good
81,The configuration were done successful as expected,the configuration were done successful as expected,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.5859}",0.5859,Good
82,She has mastered her hardware knowledge and now can identify and troubleshoot problems,she has mastered her hardware knowledge and now can identify and troubleshoot problems,"{'neg': 0.174, 'neu': 0.71, 'pos': 0.116, 'compound': -0.2263}",-0.2263,Poor
84,"This includes how an Office telephone extension if created 
I)	Placing the telephone set in position
II)	Terminating the cable connecting the desk top phone to the general network running to the PABX.
III)	Creating the extension number
IV)	Configuring it for a desk phone
V)	Fixing a card on a server(PBX)

The student also did work concerning printer basic management. This included replenishing a printer's tonner.
The trainee also replaced  a laptop's Micro-processor.","this includes how an office telephone extension if created 
i	placing the telephone set in position
ii	terminating the cable connecting the desk top phone to the general network running to the pabx
iii	creating the extension number
iv	configuring it for a desk phone
v	fixing a card on a server

the student also did work concerning printer basic management this included replenishing a printers tonner
the trainee also replaced  a laptops microprocessor","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6486}",0.6486,Good
85,student started on development.,student started on development,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
86,"Doing computer revision was great. I found out that the University had done a great job in the area of computer studies, which made my work a lot more easier during the internship.",doing computer revision was great i found out that the university had done a great job in the area of computer studies which made my work a lot more easier during the internship,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.9061}",0.9061,Excellent
87,He has been given an assignment to work on his personal website in wordpress and has to post news on on the channel 44 website on a daily basis. He's copying well.,he has been given an assignment to work on his personal website in wordpress and has to post news on on the channel website on a daily basis hes copying well,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.2732}",0.2732,Good
88,The student participated in ToT in Moodle LMS. He acquired administrative skills to manage Moodle LMS,the student participated in tot in moodle lms he acquired administrative skills to manage moodle lms,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
89,This was king kind of new to her but put it into practice very well.,this was king kind of new to her but put it into practice very well,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4748}",0.4748,Good
90,She is very well knowledgeable and asks when not sure of something.,she is very well knowledgeable and asks when not sure of something,"{'neg': 0.137, 'neu': 0.697, 'pos': 0.167, 'compound': 0.1106}",0.1106,Good
91,"She has performed very well in the whole process of setting up a network, assigning IP addresses to sharing resources. Keep it up",she has performed very well in the whole process of setting up a network assigning ip addresses to sharing resources keep it up,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6361}",0.6361,Good
92,She is catching up very well as she contributes and asks questions were she doesn't know. Very good work done,she is catching up very well as she contributes and asks questions were she doesnt know very good work done,"{'neg': 0.114, 'neu': 0.782, 'pos': 0.104, 'compound': -0.0592}",-0.0592,Poor
93,student understood the importance of software drivers and was able to distinguish printer drivers based on printer models. Student was also able to understand and use inbuilt windows utility tools.,student understood the importance of software drivers and was able to distinguish printer drivers based on printer models student was also able to understand and use inbuilt windows utility tools,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.3612}",0.3612,Good
94,He knows how to identify a particular system especially a UPS but found if challenging to point out specific components which am sure now can do very well,he knows how to identify a particular system especially a ups but found if challenging to point out specific components which am sure now can do very well,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.7869}",0.7869,Good
95,Noted and well done.,noted and well done,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.2732,Good
96,He performed very well as he is able to setup a network and share resources,he performed very well as he is able to setup a network and share resources,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5563}",0.5563,Good
97,Done to the supervisor's satisfaction.,done to the supervisors satisfaction,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Good
98,He is putting in effort and understands the concept of resource sharing,he is putting in effort and understands the concept of resource sharing,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.4215,Good
99,He is familiar with this concept of routers as he was able to execute the work given very well,he is familiar with this concept of routers as he was able to execute the work given very well,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.3384}",0.3384,Good
100,Done,done,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
101,This was completed to my satisfaction,this was completed to my satisfaction,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Good
102,"He is understanding the concept of networking very well and can setup, share from both wired and wireless networks",he is understanding the concept of networking very well and can setup share from both wired and wireless networks,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5563}",0.5563,Good
103,She is very determined to know were she has a problem as she asks,she is very determined to know were she has a problem as she asks,"{'neg': 0.155, 'neu': 0.69, 'pos': 0.155, 'compound': -0.0018}",-0.0018,Neutral
104,Great enthusiasm and self drive.,great enthusiasm and self drive,"{'neg': 0.0, 'neu': 0.3, 'pos': 0.7, 'compound': 0.7906}",0.7906,Good
105,Tasks well done. Good work,tasks well done good work,"{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.6124}",0.6124,Good
106,He is very inquisitive and committed to the learning process,he is very inquisitive and committed to the learning process,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5198}",0.5198,Good
107,Actively involved him self in the tasks,actively involved him self in the tasks,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,Good
108,Student performed well.,student performed well,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",0.2732,Good
109,Student developed database.,student developed database,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
110,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP, With this, he is good to go.",he was given a task to do different code snippets with php before he can start on a realworld project he has done well all the basics of php with this he is good to go,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6124}",0.6124,Good
111,Completed to my satisfaction,completed to my satisfaction,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Good
112,Completed within the time frame specified.,completed within the time frame specified,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
113,Competed to my satisfaction.,competed to my satisfaction,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Good
115,Good work by the student,good work by the student,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Good
116,Student master the principles faster. He delivers the right thing and on time.,student master the principles faster he delivers the right thing and on time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
117,He has the interest of learning new and challenging things as he was able to understand and implement wireless networks,he has the interest of learning new and challenging things as he was able to understand and implement wireless networks,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5574}",0.5574,Good
118,Good attitude and enthusiasm,good attitude and enthusiasm,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",0.7003,Good
119,Good resilience traits and team work,good resilience traits and team work,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Good
120,"At the end of that week, he presented a complete definition of the User interface that all stakeholders liked. All pages were well aligned and presentable, he was putting custom CSS and bootstrap together with back end data.",at the end of that week he presented a complete definition of the user interface that all stakeholders liked all pages were well aligned and presentable he was putting custom css and bootstrap together with back end data,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.5994}",0.5994,Good
121,Accomplished the tasks and the websites were tested locally,accomplished the tasks and the websites were tested locally,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,Good
122,Implemented mobile money payment from a third party provider. He has to use an API from MTN for a more feasible solution,implemented mobile money payment from a third party provider he has to use an api from mtn for a more feasible solution,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6461}",0.6461,Good
123,"I am impressed by Belinda's front end skills and ability to design information systems.
She has managed to analyze the data that was handed to her and generate UI wireframes for the visualization in a web application","i am impressed by belindas front end skills and ability to design information systems
she has managed to analyze the data that was handed to her and generate ui wireframes for the visualization in a web application","{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.6597}",0.6597,Good
124,"The enthusiasm to learn that has been displayed and exercised is a good indicator of a serious person/student. Keep it up, Ms Angella. The sky will be the limit if this attitude is taken up in your upcoming career.",the enthusiasm to learn that has been displayed and exercised is a good indicator of a serious personstudent keep it up ms angella the sky will be the limit if this attitude is taken up in your upcoming career,"{'neg': 0.03, 'neu': 0.835, 'pos': 0.135, 'compound': 0.6705}",0.6705,Good
125,Successfully finished the tasks,successfully finished the tasks,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4939}",0.4939,Good
126,Active in all tasks available,active in all tasks available,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,Good
